"volcano_number","volcano_name","primary_volcano_type","last_eruption_year","region","latitude","longitude","elevation","tectonic_settings","major_rock_1","num_eruptions"
222130,"Chyulu Hills","Volcanic field",1855,"Africa and Red Sea",-2.68,37.88,2188,"Rift zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",2
222160,"Meru","Stratovolcano",1910,"Africa and Red Sea",-3.25,36.75,4565,"Rift zone / Continental crust (>25 km)","Phonolite",4
222161,"Igwisi Hills","Pyroclastic cone",-10450,"Africa and Red Sea",-4.889,31.933,1146,"Rift zone / Continental crust (>25 km)","Foidite",1
222164,"Ngozi","Caldera",1450,"Africa and Red Sea",-8.989,33.554,2614,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",2
222166,"Rungwe","Stratovolcano",1250,"Africa and Red Sea",-9.135,33.668,2953,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",3
222170,"Kyejo","Stratovolcano",1800,"Africa and Red Sea",-9.229,33.792,2176,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",1
223001,"Fort Portal","Tuff cone",-2120,"Africa and Red Sea",0.7,30.25,1615,"Rift zone / Continental crust (>25 km)","Foidite",2
223020,"Nyamuragira","Shield",2020,"Africa and Red Sea",-1.408,29.2,3058,"Rift zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",49
223030,"Nyiragongo","Stratovolcano",2020,"Africa and Red Sea",-1.52,29.25,3470,"Rift zone / Continental crust (>25 km)","Foidite",20
223040,"Karisimbi","Stratovolcano",-8050,"Africa and Red Sea",-1.506,29.45,4490,"Rift zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
223050,"Visoke","Stratovolcano",1957,"Africa and Red Sea",-1.458,29.485,3696,"Rift zone / Continental crust (>25 km)","Trachyandesite / Basaltic Trachyandesite",2
224010,"Cameroon","Stratovolcano",2000,"Africa and Red Sea",4.203,9.17,4095,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",19
225030,"Marra, Jebel","Volcanic field",-2000,"Africa and Red Sea",12.95,24.27,3042,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
225050,"Meidob Volcanic Field","Pyroclastic cone",-2950,"Africa and Red Sea",15.32,26.47,2000,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",6
225060,"Bayuda Volcanic Field","Pyroclastic cone",850,"Africa and Red Sea",18.33,32.75,670,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
231001,"Harrat Ash Shamah","Volcanic field",1850,"Middle East and Indian Ocean",32.333,37.583,1100,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",2
231020,"Uwayrid, Harrat","Volcanic field",640,"Middle East and Indian Ocean",27.08,37.25,1920,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231040,"Lunayyir, Harrat","Volcanic field",1000,"Middle East and Indian Ocean",25.17,37.75,1370,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231060,"Khaybar, Harrat","Volcanic field",650,"Middle East and Indian Ocean",25,39.92,2093,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231070,"Rahat, Harrat","Volcanic field",1256,"Middle East and Indian Ocean",23.08,39.78,1744,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",3
231080,"Yar, Jabal","Volcanic field",1810,"Middle East and Indian Ocean",17.05,42.83,305,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231090,"Arhab, Harra of","Volcanic field",500,"Middle East and Indian Ocean",15.63,44.08,3100,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",2
231110,"Haylan, Jabal","Volcanic field",-1200,"Middle East and Indian Ocean",15.4,45.1,1550,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231120,"Dhamar, Harras of","Volcanic field",1937,"Middle East and Indian Ocean",14.57,44.67,3500,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
231160,"Sawad, Harra Es-","Volcanic field",1253,"Middle East and Indian Ocean",13.58,46.12,1737,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
232010,"Damavand","Stratovolcano",-5350,"Middle East and Indian Ocean",35.951,52.109,5670,"Intraplate / Continental crust (>25 km)","Trachyandesite / Basaltic Trachyandesite",1
233010,"Karthala","Shield",2007,"Middle East and Indian Ocean",-11.75,43.38,2361,"Intraplate / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",35
233014,"Itasy Volcanic Field","Pyroclastic cone",-6050,"Middle East and Indian Ocean",-19.033,46.7,1800,"Intraplate / Continental crust (>25 km)","Trachyte / Trachydacite",2
233020,"Fournaise, Piton de la","Shield",2020,"Middle East and Indian Ocean",-21.244,55.708,2632,"Intraplate / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",194
234010,"Heard","Stratovolcano",2020,"Middle East and Indian Ocean",-53.106,73.513,2745,"Intraplate / Oceanic crust (< 15 km)","Trachybasalt / Tephrite Basanite",13
234070,"Marion Island","Shield",2004,"Middle East and Indian Ocean",-46.9,37.75,1230,"Rift zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",2
241010,"Kaikohe-Bay of Islands","Volcanic field",400,"New Zealand to Fiji",-35.3,173.9,388,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
241020,"Auckland Volcanic Field","Volcanic field",1350,"New Zealand to Fiji",-36.9,174.87,260,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
241021,"Mayor Island","Shield",-5060,"New Zealand to Fiji",-37.28,176.25,355,"Subduction zone / Continental crust (>25 km)","Rhyolite",2
241030,"Taranaki","Stratovolcano",1800,"New Zealand to Fiji",-39.3,174.07,2518,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",43
241040,"Whakaari/White Island","Stratovolcano",2019,"New Zealand to Fiji",-37.52,177.18,294,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",42
241050,"Okataina","Lava dome",1981,"New Zealand to Fiji",-38.12,176.5,1111,"Subduction zone / Continental crust (>25 km)","Rhyolite",31
241060,"Reporoa","Caldera",1180,"New Zealand to Fiji",-38.42,176.33,592,"Subduction zone / Continental crust (>25 km)","Rhyolite",1
241061,"Maroa","Caldera",180,"New Zealand to Fiji",-38.42,176.08,897,"Subduction zone / Continental crust (>25 km)","Rhyolite",2
241070,"Taupo","Caldera",260,"New Zealand to Fiji",-38.82,176,760,"Subduction zone / Continental crust (>25 km)","Rhyolite",25
241080,"Tongariro","Stratovolcano",2012,"New Zealand to Fiji",-39.157,175.632,1978,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",79
241100,"Ruapehu","Stratovolcano",2007,"New Zealand to Fiji",-39.28,175.57,2797,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",66
241130,"Rumble III","Submarine",2008,"New Zealand to Fiji",-35.745,178.478,-220,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",6
241140,"Healy","Submarine",1360,"New Zealand to Fiji",-35.004,178.973,-980,"Subduction zone / Oceanic crust (< 15 km)","Dacite",1
242021,"Macauley","Caldera",-4360,"New Zealand to Fiji",-30.21,-178.475,238,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",3
242030,"Raoul Island","Stratovolcano",2006,"New Zealand to Fiji",-29.27,-177.92,516,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",19
243060,"Tofua","Caldera",2014,"New Zealand to Fiji",-19.75,-175.07,515,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",11
243110,"Niuafo'ou","Shield",1985,"New Zealand to Fiji",-15.6,-175.63,260,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",14
243120,"Tafu-Maka","Submarine",2008,"New Zealand to Fiji",-15.37,-174.23,-1400,"Rift zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",1
243130,"West Mata","Submarine",2009,"New Zealand to Fiji",-15.1,-173.75,-1174,"Subduction zone / Oceanic crust (< 15 km)","Andesite / Basaltic Andesite",1
244000,"Vailulu'u","Submarine",2003,"New Zealand to Fiji",-14.215,-169.058,-592,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",3
244010,"Ofu-Olosega","Shield",1866,"New Zealand to Fiji",-14.175,-169.618,639,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",1
244020,"Tutuila","Tuff cone",440,"New Zealand to Fiji",-14.295,-170.7,653,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",1
244040,"Savai'i","Shield",1911,"New Zealand to Fiji",-13.612,-172.525,1858,"Subduction zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",12
245010,"Taveuni","Shield",1550,"New Zealand to Fiji",-16.82,-179.97,1241,"Subduction zone / Crustal thickness unknown","Basalt / Picro-Basalt",34
245030,"Nabukelevu","Lava dome",1660,"New Zealand to Fiji",-19.12,177.98,805,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",3
250010,"St. Andrew Strait","Complex",1957,"Melanesia and Australia",-2.38,147.35,270,"Subduction zone / Oceanic crust (< 15 km)","Rhyolite",4
251020,"Manam","Stratovolcano",2020,"Melanesia and Australia",-4.08,145.037,1807,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",45
251030,"Karkar","Stratovolcano",2014,"Melanesia and Australia",-4.649,145.964,1839,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",19
251050,"Long Island","Complex",1993,"Melanesia and Australia",-5.358,147.12,1280,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",12
252010,"Langila","Complex",2018,"Melanesia and Australia",-5.525,148.42,1330,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",27
252040,"Dakataua","Caldera",1895,"Melanesia and Australia",-5.094,150.094,408,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
252070,"Krummel-Garbuna-Welcker","Stratovolcano",2008,"Melanesia and Australia",-5.416,150.027,564,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",4
252080,"Witori","Caldera",2012,"Melanesia and Australia",-5.576,150.516,724,"Subduction zone / Continental crust (>25 km)","Dacite",21
252100,"Hargy","Stratovolcano",950,"Melanesia and Australia",-5.33,151.1,1148,"Subduction zone / Continental crust (>25 km)","Dacite",2
252130,"Lolobau","Caldera",1912,"Melanesia and Australia",-4.92,151.158,858,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",4
252140,"Rabaul","Pyroclastic shield",2014,"Melanesia and Australia",-4.271,152.203,688,"Subduction zone / Continental crust (>25 km)","Dacite",19
253030,"Victory","Stratovolcano",1935,"Melanesia and Australia",-9.2,149.07,1925,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
253060,"Dawson Strait Group","Volcanic field",1350,"Melanesia and Australia",-9.62,150.88,500,"Subduction zone / Continental crust (>25 km)","Rhyolite",1
254020,"Ambitle","Stratovolcano",-350,"Melanesia and Australia",-4.08,153.65,450,"Subduction zone / Crustal thickness unknown","Phono-tephrite /  Tephri-phonolite",1
255011,"Billy Mitchell","Pyroclastic shield",1580,"Melanesia and Australia",-6.092,155.225,1544,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",2
255020,"Bagana","Lava cone",2020,"Melanesia and Australia",-6.137,155.196,1855,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",26
255030,"Loloru","Pyroclastic shield",-1050,"Melanesia and Australia",-6.52,155.62,1887,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",6
255050,"Simbo","Stratovolcano",1910,"Melanesia and Australia",-8.292,156.52,335,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",1
255070,"Savo","Stratovolcano",1847,"Melanesia and Australia",-9.13,159.82,485,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",4
256010,"Tinakula","Stratovolcano",2020,"Melanesia and Australia",-10.386,165.804,796,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",27
257010,"Suretamatai","Complex",1966,"Melanesia and Australia",-13.8,167.47,921,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",4
257020,"Gaua","Stratovolcano",2011,"Melanesia and Australia",-14.27,167.5,797,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",16
257030,"Ambae","Shield",2018,"Melanesia and Australia",-15.389,167.835,1496,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",8
257040,"Ambrym","Pyroclastic shield",2018,"Melanesia and Australia",-16.25,168.12,1334,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",55
257060,"Epi","Stratovolcano",2004,"Melanesia and Australia",-16.68,168.37,833,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",14
257070,"Kuwae","Caldera",1974,"Melanesia and Australia",-16.829,168.536,-2,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",18
257090,"Traitor's Head","Stratovolcano",1881,"Melanesia and Australia",-18.754,169.238,817,"Subduction zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",2
257100,"Yasur","Stratovolcano",2020,"Melanesia and Australia",-19.532,169.447,361,"Subduction zone / Intermediate crust (15-25 km)","Andesite / Basaltic Andesite",4
258010,"Matthew Island","Stratovolcano",1956,"Melanesia and Australia",-22.33,171.32,177,"Subduction zone / Crustal thickness unknown","Andesite / Basaltic Andesite",7
259010,"Newer Volcanics Province","Shield",-2900,"Melanesia and Australia",-37.77,142.5,1011,"Intraplate / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",4
261020,"Seulawah Agam","Stratovolcano",1839,"Indonesia",5.448,95.658,1810,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
261030,"Peuet Sague","Complex",2000,"Indonesia",4.903,96.289,2785,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
261050,"Telong, Bur ni","Stratovolcano",1937,"Indonesia",4.769,96.821,2617,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",6
261070,"Singkut","Caldera",1881,"Indonesia",3.248,98.501,2181,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
261080,"Sinabung","Stratovolcano",2019,"Indonesia",3.17,98.392,2460,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
261120,"Sorikmarapi","Stratovolcano",1986,"Indonesia",0.686,99.539,2145,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",10
261140,"Marapi","Complex",2018,"Indonesia",-0.38,100.474,2885,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",68
261150,"Tandikat-Singgalang","Stratovolcano",1924,"Indonesia",-0.39,100.331,2854,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",4
261160,"Talang","Stratovolcano",2007,"Indonesia",-0.979,100.681,2575,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",15
261170,"Kerinci","Stratovolcano",2020,"Indonesia",-1.697,101.264,3800,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",37
261180,"Sumbing","Stratovolcano",1921,"Indonesia",-2.414,101.728,2507,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
261220,"Kaba","Stratovolcano",2000,"Indonesia",-3.522,102.615,1940,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",13
261230,"Dempo","Stratovolcano",2017,"Indonesia",-4.016,103.121,3142,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",28
262000,"Krakatau","Caldera",2020,"Indonesia",-6.102,105.423,155,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",56
263040,"Perbakti-Gagak","Stratovolcano",1939,"Indonesia",-6.75,106.7,1699,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
263050,"Salak","Stratovolcano",1938,"Indonesia",-6.72,106.73,2211,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",6
263060,"Gede-Pangrango","Stratovolcano",1957,"Indonesia",-6.77,106.965,3008,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",26
263090,"Tangkuban Parahu","Stratovolcano",2019,"Indonesia",-6.77,107.6,2084,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",22
263100,"Papandayan","Stratovolcano",2002,"Indonesia",-7.32,107.73,2665,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",4
263130,"Guntur","Complex",1847,"Indonesia",-7.143,107.84,2249,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",27
263140,"Galunggung","Stratovolcano",1984,"Indonesia",-7.25,108.058,2168,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",7
263170,"Cereme","Stratovolcano",1951,"Indonesia",-6.895,108.408,3039,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",7
263180,"Slamet","Stratovolcano",2014,"Indonesia",-7.242,109.208,3428,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",46
263200,"Dieng Volcanic Complex","Complex",2018,"Indonesia",-7.2,109.879,2565,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",31
263210,"Sundoro","Stratovolcano",1971,"Indonesia",-7.3,109.992,3136,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",11
263220,"Sumbing","Stratovolcano",1730,"Indonesia",-7.384,110.07,3371,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
263240,"Merbabu","Stratovolcano",1797,"Indonesia",-7.454,110.44,3118,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",4
263250,"Merapi","Stratovolcano",2020,"Indonesia",-7.54,110.446,2910,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",110
263251,"Muria","Stratovolcano",-160,"Indonesia",-6.62,110.88,1625,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",1
263260,"Lawu","Stratovolcano",1885,"Indonesia",-7.625,111.192,3265,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
263280,"Kelut","Stratovolcano",2014,"Indonesia",-7.93,112.308,1731,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",41
263290,"Arjuno-Welirang","Stratovolcano",1952,"Indonesia",-7.733,112.575,3339,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
263300,"Semeru","Stratovolcano",2020,"Indonesia",-8.108,112.922,3657,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",65
263310,"Tengger Caldera","Stratovolcano",2019,"Indonesia",-7.942,112.95,2329,"Subduction zone / Continental crust (>25 km)","Trachyandesite / Basaltic Trachyandesite",69
263320,"Lamongan","Stratovolcano",1898,"Indonesia",-7.981,113.341,1641,"Subduction zone / Continental crust (>25 km)","Basalt / Picro-Basalt",42
263340,"Raung","Stratovolcano",2015,"Indonesia",-8.119,114.056,3260,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",69
263350,"Ijen","Stratovolcano",1999,"Indonesia",-8.058,114.242,2769,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",11
264010,"Batur","Caldera",2000,"Indonesia",-8.242,115.375,1717,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",28
264020,"Agung","Stratovolcano",2019,"Indonesia",-8.343,115.508,2997,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
264030,"Rinjani","Stratovolcano",2016,"Indonesia",-8.42,116.47,3726,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",21
